artist,track,album,track_id
"Dream, PmBata",Roadtrip,Roadtrip,4Agtk2MrapdZAVN7v6PuFO
Falling In Reverse,Game Over,Fashionably Late (Deluxe Edition),76tzDKhVle9QKpWx0apgCm
Dream,Mask,Mask,3IxMaULfjq4IT2IN6v54PB
"Captainsparklez, Tryhardninja",Fallen Kingdom,Fallen Kingdom,0gYnzvD4ktjOm8EWPN9vhh
"CG5, Abdul Cisse",BITE OF 87,BITE OF 87,79o2pwWpC9dndAAJOSbJJz
"BadBoyHalo, CG5, Hyper Potions, Skeppy, CaptainPuffy",MUFFIN,MUFFIN,0w9SSLVuq8ZlCdrfEuqQ6z
Justin Bieber,Yummy,Yummy,41L3O37CECZt3N7ziG2z7l
Baauer,Harlem Shake,Harlem Shake,01XFgRZfZI7oBagNf1Loml
Calvin Harris,Summer,Motion,6YUTL4dYpB9xZO5qExPf05
Taylor Swift,You Belong With Me,Fearless,3GCL1PydwsLodcpv0Ll1ch
Tyler The Creator,IGOR'S THEME,IGOR,51RN0kzWd7xeR4th5HsEtW
"Katy Perry, Juicy J",Dark Horse,PRISM (Deluxe),5jrdCoLpJSvHHorevXBATy
Meghan Trainor,All About That Bass,Title (Deluxe),5jE48hhRu8E6zBDPRSkEq7
Lady Gaga,Poker Face,The Fame,5R8dQOPq8haW94K7mgERlO
"Eminem, Rihanna",The Monster,The Marshall Mathers LP2,3aUp8U4MNWctRXlY5MPysv
Katy Perry,Roar,PRISM (Deluxe),6F5c58TMEs1byxUstkzVeM
Survivor,Eye of the Tiger,Rocky IV,2KH16WveTQWT6KOG9Rg6e2
"Katy Perry, Snoop Dogg",California Gurls,Teenage Dream,6KOEK6SeCEZOQkLj5M1PxH
De Xian Rong,Super Idol,Super Idol,0JoZO6Uw6SvLdgDVUuEsPC
OneRepublic,Counting Stars,Native,2tpWsVSb9UEmDRxAl1zhX1
Maroon 5,Animals,V,2bL2gyO6kBdLkNSkxXNh6x
Taylor Swift,I Knew You Were Trouble.,Red (Big Machine Radio Release Special),6FB3v4YcR57y4tXFcdxI1E
One Direction,What Makes You Beautiful,Up All Night,4cluDES4hQEUhmXj6TXkSo
"LMFAO, Lauren Bennett, GoonRock",Party Rock Anthem,Sorry For Party Rocking,0IkKz2J93C94Ei4BvDop7P
One Direction,Best Song Ever,Midnight Memories (Deluxe),5T7ZFtCcOgkpjxcuaeZbw0
One Direction,Steal My Girl,FOUR (Deluxe),2Bs4jQEGMycglOfWPBqrVG
Owl City,Fireflies,Ocean Eyes,3DamFFqW32WihKkTVlwTYQ
One Direction,Story of My Life,Midnight Memories (Deluxe),4nVBt6MZDDP6tRVdQTgxJg
"Wiz Khalifa, Charlie Puth",See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc
Miley Cyrus,Party In The U.S.A.,Good Morning Music: Pop Throwbacks,68LNIOMjcliUHjW0turxcP
"The Chainsmokers, Halsey",Closer,Closer,7BKLCZ1jbUBVqRi2FVlTVw
"Zedd, Maren Morris, Grey",The Middle,The Middle,09IStsImFySgyp0pIQdqAc
Taylor Swift,22,Red (Deluxe Edition),3bIxTsfeNMO7Nt2J3EUKrA
"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p
Twenty One Pilots,Stressed Out,Blurryface,3CRDbSIZ4r5MsZ0YwxuEkn
"Selena Gomez, Marshmello",Wolves,Wolves,0tBbt8CrmxbjRP0pueQkyU
Alessia Cara,Scars To Your Beautiful,Know-It-All,0wI7QkCcs8FUQE1OkXUIqd
Alessia Cara,Here,Know-It-All,5zUQZjVB6bfewBXWqsP9PY
ZAYN,PILLOWTALK,Mind Of Mine (Deluxe Edition),0PDUDa38GO8lMxLCRc4lL1
The Weeknd,Can't Feel My Face,Beauty Behind The Madness,22VdIZQfgXJea34mQxlt81
Drake,Hotline Bling,Views,0wwPcA6wtMf6HUMpIRdeP7
Rihanna,Shut Up And Drive,Good Girl Gone Bad: Reloaded,4Tn2llBm1g0UlWctmgPL8Z
Drake,Started From the Bottom,Nothing Was The Same (Deluxe),3dgQqOiQ9fCKVhNOedd2lf
Ed Sheeran,Thinking out Loud,x (Deluxe Edition),34gCuhDGsG4bRPIf9bb02f
John Legend,All of Me,Love In The Future (Expanded Edition),3U4isOIWM3VvDubwSI3y7a
Ed Sheeran,Photograph,x (Wembley Edition),6fxVffaTuwjgEk5h9QyRjy
Rednex,Cotton Eye Joe,Sex & Violins,06hsdMbBxWGqBO0TV0Zrkf
"Eiffel 65, Gabry Ponte",Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Europop,2yAVzRiEQooPEJ9SYx11L3
Baha Men,Who Let The Dogs Out,Who Let The Dogs Out,1H5tvpoApNDxvxDexoaAUo
Daler Mehndi,Tunak Tunak Tun,Tunak Tunak Tun,131yybV7A3TmC34a0qE8u8
Los Del Rio,Macarena - Bayside Boys Remix,Macarena (EP),07DcH2UllHvVRKjD2HEJuC
Aqua,Barbie Girl,Aquarium (Special Edition),5ZrDlcxIDZyjOzHdYW1ydr
"Panjabi MC, JAŸ-Z",Beware Of The Boys (Mundian To Bach Ke),The Album,5hTpZZmnhqCTwnF5Nvx7Ii
Shawn Mendes,Treat You Better,Illuminate,3QGsuHI8jO1Rx4JWLUh9jd
